id,r,g,b
0,145,20,64
1,192,67,111
2,106,40,64
3,62,0,20
4,13,11,12
5,1,0,0
6,0,1,0
7,0,1,0
8,11,0,0
9,15,2,0
10,145,20,64
11,192,67,111
12,106,40,64
13,62,0,20
14,13,11,12
15,1,0,0
16,0,1,0
17,0,1,0
18,11,0,0
19,15,2,0
20,145,20,64
21,192,67,111
22,106,40,64
23,62,0,20
24,13,11,12
25,1,0,0
26,0,1,0
27,0,1,0
28,11,0,0
29,15,2,0
30,145,20,64
31,192,67,111
32,106,40,64
33,62,0,20
34,13,11,12
35,1,0,0
36,0,1,0
37,0,1,0
38,11,0,0
39,15,2,0
40,145,20,64
41,192,67,111
42,106,40,64
43,62,0,20
44,13,11,12
45,1,0,0
46,0,1,0
47,0,1,0
48,11,0,0
49,15,2,0
50,145,20,64
51,192,67,111
52,106,40,64
53,62,0,20
54,13,11,12
55,1,0,0
56,0,1,0
57,0,1,0
58,11,0,0
59,15,2,0
